State_Abv,Amount,State_Code
AK,64402,2
AL,35494154,1
WA,183476903,53
OR,50631538,41
CA,559573586,6
ID,59359898,16
NV,29188385,32
AZ,14038816,4
UT,3119939,49
MT,118452728,30
WY,7001152,56
CO,104028942,8
NM,10273691,35
TX,538254914,48
OK,131457654,40
KS,347604034,20
NE,184714929,31
SD,187028174,46
ND,311269737,38
MN,87758739,27
IA,142231275,19
MO,517716054,29
AR,152006497,5
LA,77828582,22
MI,72540328,26
WI,51707993,55
IL,450864704,17
IN,391340550,18
KY,90549868,21
TN,44264459,47
MS,117968293,28
GA,93681075,13
FL,44759107,12
SC,125704757,45
NC,224979798,37
TN,44264459,47
VA,34999705,51
WV,1142436,54
MD,7893741,24
DE,2297811,10
NJ,4491175,34
PA,27754721,42
OH,180722278,39
NY,47114637,36
CT,1721451,9
MA,1923325,25
VT,3355814,50
NH,55332,33
ME,4266990,23
